Gene,Degree,Betweenness,Closeness,Eigenvector
Ezh2,121,0.004101052299406535,0.4142972054753574,0.003898056225736614
Ruvbl2,120,0.004372421299381957,0.41166110310254883,0.014571983168517787
Smc4,120,0.001550412437503651,0.37292302074625,0.0030516133048699256
Espl1,120,0.0008542185472952764,0.3793299338378818,0.0030930628561938282
Psmd1,119,0.0014202058250090443,0.40954007577904095,0.012260534138658031
Utp25,119,0.0013214550203985774,0.3594787097515215,0.04806311256626866
Eif4e,119,0.003689169976973431,0.4097813720381536,0.01752341742270701
Psmc5,119,0.0017498993488877265,0.40791872943798024,0.012082672833095462
Vars1,119,0.002075526404918681,0.39533973778130244,0.03232053847222681
Smad2,119,0.005073273530479867,0.4147913724119614,0.0035382732567354777
Bcl2l1,118,0.0026221631216121638,0.4123322565239403,0.0038777573597011637
Snrpd2,117,0.0011338816387339893,0.37157816679137506,0.012187462917238177
Cdk6,117,0.0023050998977265412,0.4067854561729822,0.0035598012845935206
Psma5,117,0.000891114308223153,0.4048320335807662,0.013790250270507606
Psmc4,117,0.0011307505134630616,0.4041263414827172,0.012598081034183964
Ddx21,117,0.0006983426469230361,0.38930950668444236,0.04006032074505166
Eif3d,116,0.002082905812586943,0.38251144435130274,0.040941566882386274
Mcm6,116,0.0010743454107201252,0.3703908580438058,0.002648462435971795
Casp1,116,0.0018441572473433202,0.399943320121769,0.0033962069403669303
Mapk8,116,0.005136327932033406,0.4170923140580247,0.009152901668996221
Snrpe,116,0.0008563928147484578,0.36571654197016235,0.01561625550740585
Srfbp1,116,0.0014585955490833604,0.38000351519833697,0.04477917262685187
Psmc1,116,0.001367034347932683,0.40494988861237624,0.011606464464049109
Acta2,116,0.0016918511668261233,0.39856815684341335,0.0026193128609107645
Rad23b,116,0.002173410922358391,0.400634466412302,0.02647947041678432
Psmd7,116,0.0011890909170871292,0.406428887475095,0.011814444800561673
Gar1,115,0.0005564494437717959,0.3765573544622395,0.04042924849528253
Ttk,115,0.0007579753190974073,0.36389872266409745,0.0020047458225294205
Pak1ip1,115,0.0013580545788887202,0.37182648152459574,0.04354595534723532
Ywhaz,114,0.0044531266031426955,0.4208783259859342,0.009745358331432922
Eif2s2,114,0.0005247151996097566,0.379071499491351,0.035472089312780127
