"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","GeneSymbol"
493.3284,807.328666666667,3.96241678307275,0.00432324167436733,0.0414865722105889,-3.90205403756295,"10905681","Snu13"
75.1319,200.647555555556,3.96225981808471,0.00432418061139328,0.0414865722105889,-3.90207859237865,"10876076","Nol6"
42.3725000000001,108.955722222222,3.96036880326606,0.00433550959632873,0.0415679610591229,-3.90237452998349,"10926948","Tram2"
331.947,802.09,3.95379049092682,0.00437516948771569,0.0417973189712643,-3.90340569511029,"10893366","Psmc4"
23.99083,29.8837111111111,3.95231881135615,0.00438409541001256,0.0418345420786594,-3.90363674197529,"10742031","Fbll1"
271.048,418.039777777778,3.95124379264591,0.00439062791848119,0.0418345420786594,-3.90380559769574,"10725893","Mvp"
218.96385,680.922666666667,3.95118458835742,0.00439098798617774,0.0418345420786594,-3.90381489908351,"10736661","Psmd11"
59.7479,185.875222222222,3.95068869402055,0.00439400515640763,0.0418345420786594,-3.90389281571049,"10890301","Sos2"
104.749895,123.995788888889,3.95059800866367,0.00439455715462596,0.0418345420786594,-3.90390706611533,"10801104","Wdr55"
23.80562,27.7090555555556,3.95055517897842,0.00439481788318634,0.0418345420786594,-3.903913796596,"10817068","S100a7a"
331.15865,686.494222222222,3.94932319643332,0.00440232478907597,0.041892350615005,-3.90410744429265,"10823508","Ccnl1"
47.85914,87.3990888888889,3.94690745014825,0.00441708486973624,0.0419644609380405,-3.90448742719304,"10921343","Rftn1"
154.38015,517.433,3.94540408168575,0.00442629724362533,0.0420109966456369,-3.90472407678238,"10894857","Cdk17"
1621.1975,5026.26222222222,3.94373184952273,0.00443656867591379,0.0420811419799174,-3.90498746861987,"10749612","Actg1"
127.84707,182.2016,3.94183405274245,0.0044482566798715,0.0421212110563707,-3.90528659437246,"10785773","Spry2"
61.61793,100.679566666667,3.94131869825155,0.00445143632153062,0.0421212110563707,-3.90536786092051,"10752270","Gp1bb"
61.61793,100.679566666667,3.94131869825155,0.00445143632153062,0.0421212110563707,-3.90536786092051,"10752289","Gp1bb"
61.61793,100.679566666667,3.94131869825155,0.00445143632153062,0.0421212110563707,-3.90536786092051,"10752292","Gp1bb"
26.919785,38.8331888888889,3.94094561896759,0.0044537396772996,0.0421212110563707,-3.90542670206631,"10908452","C8h19orf38"
26.559018,22.29369,3.94010963473112,0.0044589056208446,0.0421288708950046,-3.90555858211676,"10838743","Knl1"
27.205225,37.4829111111111,3.93936894343001,0.00446348809022494,0.0421585325146562,-3.90567546475363,"10770066","Ackr1"
29.719714,28.2930977777778,3.93835702450766,0.00446975676682149,0.0421768327473911,-3.9058352015274,"10727116","Tnfrsf22"
92.6525,282.864888888889,3.93576741929265,0.00448584213037191,0.0423137253058406,-3.90624426778432,"10783868","Tinf2"
216.7516,759.358444444444,3.93379560985606,0.00449813180362539,0.042403492259152,-3.90655601750377,"10888150","Zfp36l2"
639.28585,638.222444444444,3.93331028899888,0.00450116220798939,0.0424053040773634,-3.90663278463575,"10751896","Cldn1"
188.303,824.239222222222,3.93294150796325,0.00450346639140364,0.0424053040773634,-3.90669112730254,"10779357","Psmd6"
38.078475,30.9390666666667,3.9318442073542,0.00451032995027592,0.0424499932884539,-3.90686477369585,"10897723","Apobec3"
413.67535,1032.71711111111,3.93012881642236,0.0045210821851544,0.0425237910357697,-3.9071363789478,"10784805","Rpl7a"
83.7085999999999,445.846222222222,3.92951708641902,0.00452492323364428,0.0425462205818101,-3.90723328014996,"10803943","Pfdn1"
55.0768,377.293777777778,3.92699472152572,0.00454079825827971,0.0426536879595613,-3.90763307667416,"10811452","Cotl1"
231.2201,537.393888888889,3.92520392133175,0.00455210538487423,0.0427123346103667,-3.90791715516106,"10834225","Npdc1"
2256.3833,3119.07622222222,3.92509021803725,0.00455282433000212,0.0427123346103667,-3.90793519876364,"10724311","Hbb-b1"
867.837,2187.89333333333,3.92349720494379,0.0045629097909286,0.0427794758126406,-3.9081880773377,"10797169","Rplp1"
145.021,725.855777777778,3.92274669273535,0.00456766965233536,0.0427876449310889,-3.90830726905396,"10712845","Ppp1ca"
93.0097500000001,621.881666666667,3.91815707546719,0.0045968941106756,0.0428864311032695,-3.90903691227253,"10762665","Pxn"
265.28035,624.902777777778,3.91683910318739,0.00460532343153878,0.0429052355168739,-3.90924667741134,"10819994","Rpl7a"
27.304695,35.0435,3.9165511684341,0.00460716717951363,0.0429052355168739,-3.90929251852102,"10779997","LOC290071"
27.304695,35.0435,3.9165511684341,0.00460716717951363,0.0429052355168739,-3.90929251852102,"10780059","LOC290071"
29.746255,23.2695277777778,3.91368076846248,0.00462559081950334,0.0429406785798421,-3.90974978250094,"10754260","Polq"
159.07475,488.496888888889,3.91165696577402,0.00463862818822047,0.0429926662089698,-3.91007248404284,"10940483","Ak6"
34.9765,48.0161111111111,3.91021020978601,0.00464797242675548,0.0430383095008668,-3.91030332754565,"10886131","Vash1"
216.9901,882.456444444444,3.90888738643919,0.00465653392745866,0.043064656079523,-3.91051450873053,"10923560","Bzw1"
20.99479,32.9362777777778,3.9087625432415,0.00465734280547389,0.043064656079523,-3.91053444477483,"10705553","Fbxo27"
39.5886,148.026333333333,3.90680307394637,0.00467005831508129,0.0431255351992857,-3.91084747509414,"10838512","Aven"
104.57402,141.784322222222,3.90670969011835,0.00467066523816002,0.0431255351992857,-3.91086239928514,"10757810","Clip2"
